Index,P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,Imputed Eccentricity,Imputed Eccentricity (EU),P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year,,CDHS_CRS(0.5*CDHSi+0.5*CDHSe), CDHS_CRS(0.6*CDHSi+0.4*CDHSe),CDHS_DRS(0.5*CDHSi+0.5*CDHSe),CDHS_DRS(0.6*CDHSi+0.4*CDHSe)
0,55 Cnc e,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,,8.1,,1.99,1.03,2.05,2.02,2308.751,2440.741,2582.373,1766,1790.4,1816.1,1809.1,6.3663194444,1859.2,8.3,-27.18,3.78,0.74,0.0154,0.03,0.03,0.0375,0.02,89.6,170,55 Cnc,HD 75732,HIP 43587,Cnc,K0IV-V,0.91,0.94,5196,0.581554,0.31,10.2,6,12.34,8.8769,28.3339,-35.2,33.0178,5,1,0.591,1.419,-2.39,0.06,-0.81,0.28,0,0,0,0.26,1,0,0,1,Primary Transit,2004,,4.177952,3.740359,4.17795,3.740357
1,61 Vir b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.09,5.09,,1.66,1.1,1.84,1.75,234.718,296.5414,380.1633,997.2,1054.4,1125,1038.6,3.8045138889,1166.3,5.6,-24.5,3.16,4.21,0.0502,0.12,0.12,0.15,0.05,,105,61 Vir,HD 115617,HIP 64924,Vir,G5V,0.95,0.94,5531,0.741925,-0.01,8.96,4.7,8.52,13.3067,-18.3111,-32.9,10.0643,3,0,0.656,1.556,-2.35,-0.15,-0.69,0.29,0,0,0,0.27,1,0,0,1,Radial Velocity,2009,,2.732177,2.51774,2.732177,2.51774
2,alf Cen B b,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.14,1.14,,1.09,0.89,0.97,1.03,308.7997,308.7997,308.7998,1068,1068,1068,1102.1,3.8267361111,1102.1,1,-23.61,2.06,3.24,0.04,0,0.1208217988,0.1510272485,0.04,,0,alf Cen B,HD 128621,HIP 71681,Cen,K1V,0.93,0.86,5214,0.49408,,,1.3,1.29,14.6597,-60.8375,-33,11.5197,1,0,0.545,1.306,-2.33,-0.17,-1.12,0.28,0,0,0,0.3,0,0,0,1,Radial Velocity,2012,,2.458278,2.184622,2.458279,2.184622
3,BD+20 594 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,11.77,16.31,,2.23,1.47,3.28,2.71,14.7045,14.7045,14.7045,498.9,498.9,498.9,546.5,1.8975694444,546.5,24,-21.85,4.24,41.69,0.241,0,0.1640344589,0.2050430736,0.24,89.5,0,BD+20 594,,,Tau,K0,0.96,0.93,5766,0.854052,-0.15,3.34,11,152.1,3.5767,20.5992,-29.7,2.0522,1,0,0.694,1.636,-1.96,-0.13,0.61,0.33,0,0,0,0.33,0,0,0,1,Primary Transit,2016,,2.469955,2.421962,2.469952,2.421958
4,BD-06 1339 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.58,8.58,,1.91,1.23,2.35,2.12,456.218,456.218,456.2181,1177.4,1177.4,1177.4,1221.5,4.2413194444,1221.5,10.6,-25.27,3.63,3.87,0.0428,0,0.1248645031,0.1560806289,0.04,,0,BD-06 1339,,HIP 27803,Ori,K7V/M0V,0.7,1.64,4324,0.835718,-0.14,4.4,6.7,20,5.8833,-5.9947,-33.4,20.5046,3,1,0.735,1.832,-2.26,-0.14,-0.54,0.3,0,0,0,0.26,1,0,0,1,Radial Velocity,2013,,3.075571,2.842455,3.07557,2.842454
5,CoRoT-7 b,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,,4.74,,1.52,1.34,2.04,1.76,1458.282,1842.386,2361.921,1574.4,1664.6,1776.1,1616.3,5.9253472222,1818,6.4,-26.3,2.89,0.85,0.0172,0.12,0.12,0.15,0.02,80.1,0,CoRoT-7,,,Mon,K0V,0.93,0.87,5313,0.541113,0.03,1.5,11.7,150,6.7303,-1.0628,-34.9,27.4125,2,0,0.567,1.355,-2.4,-0.38,-0.9,0.28,0,0,0,0.28,0,0,0,1,Primary Transit,2009,,3.722527,3.282021,3.722527,3.282021
6,EPIC-206011691 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.31,,1.59,1.07,1.7,1.65,16.15,16.15,16.15,510.7,510.7,510.7,551.3,1.9142361111,551.3,4.6,-21.22,3.02,9.32,0.0731,0,0.159730146,0.1996626825,0.07,88.3,0,EPIC-206011691,,,Aqr,M0,0.64,0.6,4043,0.086299,-0.11,,12.8,65,22.6869,-14.489,-29.8,4.3752,2,0,0.238,0.601,-1.91,-0.15,-0.32,0.34,0,0,0,0.35,0,0,0,1,Primary Transit,2015,,1.752089,1.71967,1.752088,1.719669
7,EPIC-206011691 c,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,8.68,,1.92,1.24,2.37,2.13,8.198086,8.198087,8.198089,431.1,431.1,431.1,475.2,1.65,475.2,10.7,-20.89,3.64,15.5,0.1026,0,0.134716441,0.1683955513,0.1,89.1,0,EPIC-206011691,,,Aqr,M0,0.64,0.6,4043,0.086299,-0.11,,12.8,65,22.6869,-14.489,-29,3.1169,2,0,0.238,0.601,-1.75,-0.14,0.25,0.36,0,0,0,0.4,0,0,0,1,Primary Transit,2015,,2.024964,2.003969,2.024963,2.003969
8,EPIC 201295312 b,,,Hot,Neptunian,rocky-water,metals-rich,non-habitable,,12.05,,2.74,0.58,1.6,2.1,456.1121,576.2495,738.7465,1177.4,1244.9,1328.2,1219.7,4.4694444444,1370.6,7,-26.32,5.22,5.66,0.0647,0.12,0.12,0.15,0.06,86.6,0,EPIC 201295312,,,Leo,G,1.13,1.52,5830,2.394701,0.13,,12.5,,11.6008,-2.5208,-33.7,12.6368,1,0,1.158,2.724,-2.4,0.96,-0.58,0.27,0,0,0,0.22,0,0,0,1,Primary Transit,2016,,3.604606,3.431676,3.604607,3.431677
9,EPIC 201445392 c,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,22.64,,2.41,1.62,3.9,3.07,251.9139,251.914,251.914,1015,1015,1015,1064.4,3.6958333333,1064.4,36.7,-25.12,4.58,2.51,0.0334,0,0.137802855,0.1722535688,0.03,,0,EPIC 201445392,,,Leo,K,0.79,0.74,4890,0.280924,-0.01,,14.4,,11.3196,-0.2844,-32.8,11.8303,1,0,0.417,1.013,-2.29,-0.12,0.13,0.3,0,0,0,0.24,0,0,0,1,Primary Transit,2015,,3.052848,2.924275,3.052848,2.924275
10,EPIC 201598502 b,,,Cold,Superterran,rocky-iron,hydrogen-rich,non-habitable,,10.17,,1.99,1.28,2.56,2.26,0.1165529,0.1165529,0.1165529,148.9,148.9,148.9,193.9,0.6732638889,193.9,13.1,-16.33,3.79,7.52,0.601,0,0.0677489166,0.0846861458,0.6,,0,EPIC 201598502,,,Vir,M3.0,0.51,0.49,3720,0.042099,-0.26,,,126,12.2539,2.021,-24.4,0.4389,1,0,0.167,0.429,2.31,-0.13,1.85,0.25,0,0,0,0.39,0,0,0,1,Primary Transit,2017,,2.124945,2.097954,2.124945,2.097954
