Index,P. Name,P. Eccentricity,Imputed Eccentricity (EU),P. Habitable Class
0,55 Cnc e,0.03,0.0375,non-habitable
1,61 Vir b,0.12,0.15,non-habitable
2,alf Cen B b,0,0.1510272485,non-habitable
3,BD+20 594 b,0,0.2050430736,non-habitable
4,BD-06 1339 b,0,0.1560806289,non-habitable
5,CoRoT-7 b,0.12,0.15,non-habitable
6,EPIC-206011691 b,0,0.1996626825,non-habitable
7,EPIC-206011691 c,0,0.1683955513,non-habitable
8,EPIC 201295312 b,0.12,0.15,non-habitable
9,EPIC 201445392 c,0,0.1722535688,non-habitable
10,EPIC 201598502 b,0,0.0846861458,non-habitable
11,EPIC 201637175 b,0,0.1546110444,non-habitable
12,EPIC 201713348 b,0,0.1517682143,non-habitable
13,EPIC 203826436 b,0,0.2093319413,non-habitable
14,EPIC 204221263 b,0,0.1557216213,non-habitable
15,EPIC 204221263 c,0,0.2429348019,non-habitable
16,EPIC 210894022 b,0,0.1680498085,non-habitable
17,EPIC 211331236 b,0,0.243644169,non-habitable
18,EPIC 211331236 c,0,0.1850578945,non-habitable
19,EPIC 211822797 b,0.18,0.225,non-habitable
20,EPIC 211913977 b,0.1,0.125,non-habitable
21,EPIC 211924657 b,0,0.1348161305,non-habitable
22,EPIC 211969807 b,0.18,0.225,non-habitable
23,EPIC 211970147 b,0.1,0.125,non-habitable
24,EPIC 212006344 b,0,0.2550936016,non-habitable
25,EPIC 213715787 b,0,0.2201000661,non-habitable
26,EPIC 220194974 b,0,0.1670982985,non-habitable
27,EPIC 220194974 c,0,0.1393711166,non-habitable
28,EPIC 220194974 d,0,0.243977502,non-habitable
29,EPIC 220522664 b,0,0.1515431891,non-habitable
30,EPIC 220598331 b,0,0.1826462346,non-habitable
31,EPIC 220621087 b,0,0.1907640726,non-habitable
32,EPIC 228934525 b,0,0.2183392488,non-habitable
33,EPIC 228934525 c,0,0.1774243671,non-habitable
34,EPIC 246393474 b,0,0.0685817505,non-habitable
35,GJ 15 A b,0,0.1878363513,non-habitable
36,GJ 163 c,0.09,0.1125,psychroplanet
37,GJ 176 b,0,0.1232452748,non-habitable
38,GJ 180 b,0.11,0.1375,mesoplanet
39,GJ 180 c,0.09,0.1125,mesoplanet
40,GJ 273 b,0.1,0.125,mesoplanet
41,GJ 273 c,0.17,0.2125,non-habitable
42,GJ 422 b,0.05,0.0625,mesoplanet
43,GJ 433 b,0.05,0.0625,non-habitable
44,GJ 536 b,0.08,0.1,non-habitable
45,GJ 581 c,0.07,0.0875,non-habitable
46,GJ 581 e,0.32,0.4,non-habitable
47,GJ 625 b,0.13,0.1625,non-habitable
48,GJ 649 c,0.2,0.25,non-habitable
49,GJ 667 C b,0.13,0.1625,non-habitable
50,GJ 667 C c,0.02,0.025,mesoplanet
51,GJ 667 C d,0.03,0.0375,non-habitable
52,GJ 667 C e,0.02,0.025,psychroplanet
53,GJ 667 C f,0.03,0.0375,psychroplanet
54,GJ 667 C g,0.08,0.1,non-habitable
55,GJ 676 A d,0.15,0.1875,non-habitable
56,GJ 682 b,0.08,0.1,non-habitable
57,GJ 682 c,0.1,0.125,psychroplanet
58,GJ 832 c,0.03,0.0375,mesoplanet
59,GJ 876 d,0.08,0.1,non-habitable
60,GJ 1132 b,0,0.2182417489,non-habitable
61,GJ 3138 b,0.11,0.1375,non-habitable
62,GJ 3138 c,0.19,0.2375,non-habitable
63,GJ 3293 d,0.12,0.15,psychroplanet
64,GJ 3293 e,0.21,0.2625,non-habitable
65,GJ 3323 b,0.23,0.2875,mesoplanet
66,GJ 3323 c,0.17,0.2125,non-habitable
67,GJ 3341 b,0.31,0.3875,non-habitable
68,GJ 3634 b,0.08,0.1,non-habitable
69,GJ 3942 b,0.12,0.15,non-habitable
70,GJ 3998 b,0,0.1907472778,non-habitable
71,GJ 3998 c,0.05,0.0625,non-habitable
72,GJ 9827 b,0,0.2135871559,non-habitable
73,GJ 9827 c,0,0.248386074,non-habitable
74,HD 1461 b,0,0.207970732,non-habitable
75,HD 1461 c,0,0.262453781,non-habitable
76,HD 3167 b,0,0.3560823383,non-habitable
77,HD 3167 d,0.36,0.45,non-habitable
78,HD 7924 c,0.1,0.125,non-habitable
79,HD 7924 d,0.21,0.2625,non-habitable
80,HD 20794 b,0.27,0.3375,non-habitable
81,HD 20794 d,0.25,0.3125,non-habitable
82,HD 20794 e,0.29,0.3625,non-habitable
83,HD 39194 b,0.2,0.25,non-habitable
84,HD 39194 c,0.11,0.1375,non-habitable
85,HD 39194 d,0.2,0.25,non-habitable
86,HD 40307 b,0.2,0.25,non-habitable
87,HD 40307 c,0.06,0.075,non-habitable
88,HD 40307 d,0.07,0.0875,non-habitable
89,HD 40307 e,0.15,0.1875,non-habitable
90,HD 40307 f,0.02,0.025,non-habitable
91,HD 40307 g,0.29,0.3625,psychroplanet
92,HD 41248 c,0.01,0.0125,non-habitable
93,HD 85512 b,0.11,0.1375,non-habitable
94,HD 93385 b,0.15,0.1875,non-habitable
95,HD 96700 b,0.1,0.125,non-habitable
96,HD 97658 b,0.08,0.1,non-habitable
97,HD 106315 b,0.3,0.375,non-habitable
98,HD 134606 b,0.15,0.1875,non-habitable
99,HD 136352 b,0.18,0.225,non-habitable
100,HD 136352 d,0.43,0.5375,non-habitable
101,HD 154088 b,0.38,0.475,non-habitable
102,HD 156668 b,0,0.2117943815,non-habitable
103,HD 175607 b,0.11,0.1375,non-habitable
104,HD 181433 b,0.4,0.5,non-habitable
105,HD 215152 b,0.34,0.425,non-habitable
106,HD 215152 c,0.38,0.475,non-habitable
107,HD 215497 b,0.16,0.2,non-habitable
108,HD 219134 b,0,0.2270926728,non-habitable
109,HD 219134 c,0,0.3411958103,non-habitable
110,HD 219134 e,0.34,0.425,non-habitable
111,HIP 68468 b,0.41,0.5125,non-habitable
112,HIP 116454 b,0.2,0.25,non-habitable
113,K2-3 b,0,0.2101403629,non-habitable
114,K2-3 c,0,0.253918703,non-habitable
115,K2-3 d,0.05,0.0625,non-habitable
116,K2-4 b,0,0.1795314121,non-habitable
117,K2-5 b,0,0.2527677656,non-habitable
118,K2-5 c,0,0.2344452841,non-habitable
119,K2-6 b,0,0.2879973281,non-habitable
120,K2-8 c,0,0.2326863725,non-habitable
121,K2-9 b,0,0.0872023413,thermoplanet
122,K2-12 b,0,0.2159569681,non-habitable
123,K2-13 b,0,0.1954985273,non-habitable
124,K2-15 b,0,0.3168616763,non-habitable
125,K2-16 b,0,0.3345653278,non-habitable
