,index,P. Name,P. Radius (EU),P. Mass (EU),P. Esc Vel (EU),P. Eccentricity,P. Ts Mean (K),P. Imputed Eccentricity,P. Imputed Surface Temperature
0,0,1RXS 1609 b,19.04,4451.16,15.29,0.0,,0.49,1824.2
1,1,1SWASP J1407 b,10.94,6358.8,24.11,0.0,,0.26,1095.7
2,2,2M 0103-55(AB) b,11.4,4133.22,19.04,0.0,,0.43,1102.1
3,3,2M 0122-24 b,11.2,6358.8,23.83,0.0,,0.13,546.5
4,4,2M 0219-39 b,16.13,4419.37,16.55,0.0,,0.22,1221.5
5,5,2M 0441+23 b,11.66,2384.55,14.3,0.0,,0.06,1710.7
6,6,2M 0746+20 b,10.86,9538.2,29.63,0.49,,0.23,1062.8
7,7,2M 1207-39 b,11.66,1271.76,10.44,0.0,,0.08,551.3
8,8,2M 1938+46 b,11.21,604.09,7.34,0.0,,0.37,475.2
9,9,2M 2140+16 b,10.3,6358.8,24.84,0.26,,0.69,1287.2
10,10,2M 2206-20 b,14.56,9538.2,25.59,0.0,,0.08,1064.4
11,11,2M 2236+4751 b,11.43,3974.25,18.64,0.0,,0.09,1432.1
12,12,2M J2126-81 b,11.38,4228.6,19.27,0.0,,0.29,1269.4
13,13,4 Uma b,11.67,2257.37,13.91,0.43,,0.29,1014.8
14,14,6 Lyn b,,21937.86,,0.13,,0.03,1224.0
15,15,7 CMa b,11.44,782.13,8.27,0.22,,0.38,907.3
16,16,8 Umi b,10.92,476.91,6.61,0.06,,0.03,415.6
17,17,11 Com b,10.98,6168.04,23.7,0.23,,0.1,595.1
18,18,11 Oph b,10.87,6676.74,24.78,0.0,,0.16,755.4
19,19,11 UMi b,11.54,3338.37,17.0,0.08,,0.21,643.5
20,20,14 And b,11.68,1694.62,12.04,0.0,,0.01,2265.8
21,21,14 Her b,11.68,1475.24,11.24,0.37,,0.02,406.7
22,22,16 Cyg B b,11.06,534.14,6.95,0.69,,0.05,272.7
23,23,18 Del b,11.55,3274.78,16.83,0.08,,0.03,483.8
24,24,24 Sex b,11.25,632.7,7.5,0.09,,0.06,311.9
25,25,24 Sex c,9.99,273.43,5.23,0.29,,0.12,282.0
26,26,30 Ari B b,11.58,3141.25,16.47,0.29,,0.14,276.1
27,27,38 Vir b,11.68,1433.91,11.08,0.03,,0.35,447.4
28,28,42 Dra b,11.65,1233.61,10.29,0.38,,0.43,486.7
29,29,47 Uma b,11.46,804.39,8.38,0.03,,0.21,354.3
30,30,47 Uma c,9.01,171.69,4.36,0.1,,0.03,538.2
31,31,47 Uma d,11.03,521.42,6.87,0.16,,0.1,571.4
32,32,51 Eri b,11.67,2225.58,13.81,0.21,,0.25,429.3
33,33,51 Peg b,21.28,149.43,2.65,0.01,,0.35,286.4
34,34,55 Cnc b,9.84,254.35,5.08,0.02,,0.29,207.3
35,35,55 Cnc c,6.45,53.73,2.89,0.05,,0.26,227.1
36,36,55 Cnc d,11.68,1526.75,11.43,0.03,,0.15,258.9
37,37,55 Cnc e,1.99,8.35,2.05,0.06,1824.2,0.18,158.5
38,38,55 Cnc f,6.12,45.78,2.73,0.0,,0.5,736.8
39,39,61 Vir b,1.66,5.09,1.75,0.12,1095.7,0.27,334.3
40,40,61 Vir c,4.51,18.22,2.01,0.14,,0.2,242.1
41,41,61 Vir d,4.87,22.89,2.17,0.35,,0.35,294.7
42,42,70 Vir b,11.68,2098.4,13.4,0.43,,0.15,657.2
43,43,75 Cet b,11.56,953.82,9.08,0.0,,0.19,564.9
44,44,81 Cet b,11.68,1685.08,12.01,0.21,,0.01,557.0
45,45,91 Aqr b,11.59,1017.41,9.37,0.03,,0.05,266.8
46,46,AB Pic b,11.37,4292.19,19.43,0.0,,0.54,392.9
47,47,Aldebaran b,11.68,2057.07,13.27,0.1,,0.08,609.3
48,48,alf Ari b,11.15,572.29,7.17,0.25,,0.32,712.4
49,49,alf Cen B b,1.09,1.14,1.03,0.0,1102.1,0.19,427.5
50,50,AS 205A b,10.99,6120.35,23.6,0.35,,0.09,1099.0
51,51,BD+14 4559 b,10.89,467.37,6.55,0.29,,0.1,837.8
52,52,BD+15 2375 b,10.37,337.02,5.7,0.0,,0.11,1614.7
53,53,BD+15 2940 b,10.45,352.91,5.81,0.26,,0.53,641.9
54,54,BD+20 274 c,11.67,1335.35,10.7,0.0,,0.07,553.1
55,55,BD+20 594 b,2.23,16.31,2.71,0.0,546.5,0.33,699.2
56,56,BD+20 2457 b,10.85,6810.27,25.06,0.15,,0.08,546.6
57,57,BD+20 2457 c,11.44,3964.71,18.62,0.18,,0.05,429.3
58,58,BD+24 4697 b,9.15,16850.82,42.91,0.5,,0.56,921.1
59,59,BD+26 1888 b,10.55,8266.44,28.0,0.27,,0.08,693.3
60,60,BD+48 738 b,10.09,289.33,5.35,0.2,,0.16,525.5
61,61,BD+49 828 b,11.0,508.7,6.8,0.35,,0.07,850.3
62,62,BD-06 1339 b,1.91,8.58,2.12,0.0,1221.5,0.05,663.8
63,63,BD-06 1339 c,6.46,54.05,2.89,0.0,,0.08,527.7
64,64,BD-08 2823 b,4.16,14.31,1.86,0.15,,0.07,446.6
65,65,BD-08 2823 c,7.9,104.92,3.64,0.19,,0.36,394.9
66,66,BD-10 3166 b,11.54,146.25,3.56,0.01,,0.39,270.5
67,67,BD-11 4672 b,8.97,168.51,4.33,0.05,,0.27,336.9
68,68,BD-17 63 b,11.68,1621.49,11.78,0.54,,0.12,895.8
69,69,beta Cir b,9.03,17804.64,44.4,0.0,,0.18,1045.8
70,70,beta Cnc b,11.65,2479.93,14.59,0.08,,0.1,729.3
71,71,beta Pic b,18.48,2225.58,10.97,0.32,,0.16,1039.3
72,72,beta Umi b,11.68,1939.43,12.88,0.19,,0.18,861.5
73,73,CD-35 2722 b,10.24,9856.14,31.02,0.0,,0.1,883.8
74,74,CFBDS 1458 b,11.68,2066.61,13.3,0.0,,0.24,441.9
75,75,CHXR 73 b,11.46,3815.28,18.24,0.0,,0.19,686.0
76,76,CL Tau b,11.44,3913.84,18.49,0.0,,0.11,851.9
77,77,CoRoT-1 b,16.69,327.48,4.43,0.0,,0.7,537.4
78,78,CoRoT-2 b,16.41,1052.38,8.01,0.0,,0.15,704.0
79,79,CoRoT-3 b,11.31,6921.55,24.74,0.0,,0.13,743.0
80,80,CoRoT-4 b,13.33,228.92,4.14,0.0,,0.1,654.1
81,81,CoRoT-5 b,14.9,148.48,3.16,0.09,,0.11,1026.8
82,82,CoRoT-6 b,13.06,941.1,8.49,0.1,,0.14,971.1
83,83,CoRoT-7 b,1.67,7.42,2.11,0.0,1710.7,0.05,757.3
84,84,CoRoT-7 c,1.9,8.39,2.1,0.0,1062.8,0.08,153.2
85,85,CoRoT-8 b,6.37,68.62,3.28,0.0,,0.05,1573.6
86,86,CoRoT-9 b,10.53,267.07,5.04,0.11,,0.06,648.1
87,87,CoRoT-10 b,10.86,874.34,8.97,0.53,,0.01,508.1
88,88,CoRoT-11 b,16.02,740.8,6.8,0.0,,0.09,385.3
89,89,CoRoT-12 b,16.13,291.55,4.25,0.07,,0.4,329.1
90,90,CoRoT-13 b,9.91,415.87,6.48,0.0,,0.21,563.3
91,91,CoRoT-14 b,12.21,2416.34,14.07,0.0,,0.11,611.3
92,92,CoRoT-15 b,12.54,20157.4,40.09,0.0,,0.09,505.3
93,93,CoRoT-16 b,13.1,170.1,3.6,0.33,,0.04,630.5
94,94,CoRoT-17 b,11.42,772.59,8.22,0.0,,0.1,850.3
95,95,CoRoT-18 b,14.67,1103.25,8.67,0.08,,0.11,323.6
96,96,CoRoT-19 b,14.45,352.91,4.94,0.05,,0.81,703.8
97,97,CoRoT-20 b,9.41,1348.07,11.97,0.56,,0.37,956.1
98,98,CoRoT-21 b,14.56,718.54,7.02,0.0,,0.05,526.5
99,99,CoRoT-22 b,4.88,12.2,1.58,0.08,,0.05,668.7
100,100,CoRoT-23 b,12.1,890.23,8.58,0.16,,0.17,703.0
101,101,CoRoT-24 b,3.7,5.72,1.24,0.0,,0.19,496.1
102,102,CoRoT-24 c,4.93,27.98,2.38,0.0,,0.08,297.4
103,103,CoRoT-25 b,12.1,85.84,2.66,0.0,,0.03,1232.0
104,104,CoRoT-26 b,14.11,165.33,3.42,0.0,,0.07,551.3
105,105,CoRoT-27 b,11.28,3303.4,17.11,0.07,,0.32,475.3
106,106,CoRoT-28 b,10.7,153.88,3.79,0.05,,0.3,1433.6
107,107,CoRoT-29 b,10.08,270.25,5.18,0.08,,0.2,570.2
108,108,CoRoT-33 b,12.32,18822.05,39.09,0.07,,0.13,790.5
109,109,CT Cha b,24.64,5404.98,14.81,0.0,,0.02,1017.1
110,110,CVSO 30 b,21.39,1971.23,9.6,0.0,,0.03,783.3
111,111,CVSO 30 c,18.26,1494.32,9.05,0.0,,0.02,1268.8
112,112,DE0823-49 b,10.21,10015.11,31.32,0.36,,0.03,1014.2
113,113,DH Tau b,11.52,3497.34,17.42,0.0,,0.08,1233.2
114,114,DP Leo b,11.68,1923.54,12.83,0.39,,0.07,899.8
115,115,DW Lyn b,11.68,1774.11,12.32,0.0,,0.32,701.7
116,116,DW Uma b,11.57,3198.48,16.63,0.0,,0.2,888.3
117,117,EPIC-206011691 b,1.59,4.31,1.65,0.0,551.3,0.15,504.5
118,118,EPIC-206011691 c,1.92,8.68,2.13,0.0,475.2,0.24,551.0
119,119,EPIC-210490365 b,3.43,7.97,1.52,0.27,,0.08,746.8
120,120,EPIC 21668514 b,16.13,267.07,4.07,0.0,,0.1,573.3
121,121,EPIC 201295312 b,2.74,12.05,2.1,0.12,1287.2,0.04,736.4
122,122,EPIC 201445392 c,2.41,22.64,3.07,0.0,1064.4,0.56,433.5
123,123,EPIC 201637175 b,2.8,445.12,12.61,0.0,1432.1,0.13,609.8
124,124,EPIC 201713348 b,1.32,2.23,1.3,0.0,1269.4,0.32,1224.0
125,125,EPIC 201713348 c,2.8,4.24,1.23,0.0,,0.08,610.2
126,126,EPIC 203826436 b,1.61,4.54,1.68,0.0,1014.8,0.18,567.0
127,127,EPIC 203826436 c,2.74,3.97,1.2,0.0,,0.01,681.3
128,128,EPIC 203826436 d,2.73,3.92,1.2,0.0,,0.22,1684.6
129,129,EPIC 204221263 b,1.55,3.88,1.59,0.0,1224.0,0.08,775.5
130,130,EPIC 204221263 c,2.42,23.12,3.09,0.0,907.3,0.07,589.2
131,131,EPIC 211391664 b,4.26,32.11,2.75,0.0,,0.27,850.2
132,132,EPIC 211822797 b,2.24,16.46,2.71,0.18,415.6,0.51,702.0
133,133,EPIC 211913977 b,2.02,10.64,2.3,0.1,595.1,0.09,1444.8
134,134,EPIC 211916756 b,3.7,10.03,1.65,0.16,,0.16,689.0
135,135,EPIC 211969807 b,1.9,8.48,2.11,0.18,755.4,0.37,572.4
136,136,EPIC 211970147 b,1.34,2.37,1.33,0.1,643.5,0.31,536.6
137,137,EPIC 211990866 b,3.47,8.29,1.55,0.24,,0.08,493.5
138,138,EPIC 218916923 b,9.09,121.14,3.65,0.0,,0.05,366.0
139,139,EPIC 219388192 b,10.49,11604.81,33.25,0.19,,0.07,445.4
140,140,EPIC 220504338 b,10.19,406.96,6.32,0.0,,0.52,318.4
141,141,EPIC 220674823 b,1.46,3.14,1.47,0.0,2265.8,0.27,1023.8
142,142,EPIC 220674823 c,2.53,3.06,1.1,0.0,,0.01,754.8
143,143,eps CrB b,11.68,2130.2,13.51,0.11,,0.66,821.9
144,144,eps Eridani b,11.58,982.43,9.21,0.7,,0.1,1347.0
145,145,eps Tau b,11.67,2333.68,14.14,0.15,,0.19,654.2
146,146,eta Cet b,11.46,810.75,8.41,0.13,,0.04,955.7
147,147,eta Cet c,11.61,1055.56,9.54,0.1,,0.35,702.0
148,148,Fomalhaut b,11.56,953.82,9.08,0.11,,0.1,679.9
149,149,FU Tau b,11.28,4769.1,20.57,0.0,,0.11,457.7
150,150,FW Tau b,11.57,3179.4,16.58,0.0,,0.07,981.4
151,151,gamma 1 Leo b,,20316.37,,0.14,,0.01,617.0
152,152,gamma Cephei b,11.51,3529.13,17.51,0.05,,0.23,1228.8
153,153,GJ 15 A b,1.69,5.35,1.78,0.0,406.7,0.02,804.0
154,154,GJ 27.1 b,4.03,13.0,1.8,0.08,,0.11,464.2
155,155,GJ 86 A b,11.66,1274.94,10.46,0.05,,0.07,787.0
156,156,GJ 160.2 b,3.72,10.2,1.66,0.06,,0.03,465.0
157,157,GJ 163 b,3.77,10.62,1.68,0.01,,0.12,738.0
158,158,GJ 163 c,1.83,7.26,1.99,0.09,272.7,0.08,694.2
159,159,GJ 163 d,4.81,22.08,2.14,0.4,,0.05,871.0
160,160,GJ 176 b,1.9,8.43,2.11,0.0,483.8,0.1,246.2
161,161,GJ 179 b,9.89,260.71,5.13,0.21,,0.04,193.7
162,162,GJ 180 b,1.89,8.3,2.09,0.11,311.9,0.24,1518.9
163,163,GJ 180 c,1.77,6.4,1.9,0.09,282.0,0.16,1640.8
164,164,GJ 221  BD-06 1339 d,5.26,28.93,2.35,0.04,,0.15,2039.8
165,165,GJ 229 b,5.44,32.01,2.43,0.1,,0.44,577.5
166,166,GJ 317 b,11.47,813.93,8.42,0.11,,0.03,902.7
167,167,GJ 317 c,11.26,635.88,7.52,0.81,,0.06,1223.3
168,168,GJ 328 b,11.39,731.26,8.01,0.37,,0.06,820.0
169,169,GJ 422 b,1.98,9.9,2.24,0.05,276.1,0.07,1133.6
170,170,GJ 433 b,1.68,5.3,1.77,0.05,447.4,0.07,800.4
171,171,GJ 433 c,6.07,44.51,2.71,0.17,,0.05,956.9
172,172,GJ 436 b,4.26,22.26,2.29,0.19,,0.12,659.6
173,173,GJ 504 b,10.75,1271.76,10.88,0.0,,0.12,1824.9
174,174,GJ 536 b,1.69,5.37,1.78,0.08,486.7,0.12,310.1
175,175,GJ 581 b,4.31,15.9,1.92,0.03,,0.05,1184.8
176,176,GJ 581 c,1.69,5.4,1.79,0.07,354.3,0.13,937.0
177,177,GJ 581 e,1.27,1.94,1.24,0.32,538.2,0.07,984.1
178,178,GJ 649 b,7.89,104.28,3.64,0.3,,0.14,374.4
179,179,GJ 649 c,1.96,9.54,2.21,0.2,571.4,0.25,1392.6
180,180,GJ 667 C b,1.71,5.6,1.81,0.13,429.3,0.3,1028.9
181,181,GJ 667 C c,1.54,3.8,1.57,0.02,286.4,0.24,678.4
182,182,GJ 667 C d,1.67,5.1,1.75,0.03,207.3,0.12,595.1
183,183,GJ 667 C e,1.4,2.7,1.39,0.02,227.1,0.01,504.4
184,184,GJ 667 C f,1.4,2.7,1.39,0.03,258.9,0.02,539.8
185,185,GJ 667 C g,1.62,4.6,1.69,0.08,158.5,0.38,547.0
186,186,GJ 674 b,12.66,12.72,1.0,0.07,,0.13,748.1
187,187,GJ 676 A b,11.68,2130.2,13.51,0.32,,0.5,474.0
188,188,GJ 676 A c,11.68,2161.99,13.61,0.2,,0.34,980.6
189,189,GJ 676 A d,1.6,4.45,1.67,0.15,736.8,0.09,784.7
190,190,GJ 676 A e,3.86,11.45,1.72,0.24,,0.18,493.3
191,191,GJ 682 b,1.6,4.4,1.66,0.08,334.3,0.14,765.2
192,192,GJ 682 c,1.92,8.7,2.13,0.1,242.1,0.03,414.7
193,193,GJ 687 b,4.53,18.44,2.02,0.04,,0.17,1252.5
194,194,GJ 758 b,10.01,11127.9,33.34,0.56,,0.3,1179.7
195,195,GJ 785 b,4.4,16.91,1.96,0.13,,0.5,562.3
196,196,GJ 785 c,4.95,24.16,2.21,0.32,,0.08,446.9
197,197,GJ 832 b,9.51,216.0,4.77,0.08,,0.11,348.2
