g_id,s_id,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,c,rs,pred
6.37482126696304E+018,1.23766725347377E+018,20.0247554779,20.000087738,20.1712589264,20.368888855,20.4720172882,0.0837407932,0.0652502626,0.0451398268,0.033543732,0.0249503721,20.8355522156,21.7279262543,0.8107967377,0.8354644776,0.6642932892,0.4666633606,0.3635349274,0.0246677399,-0.1465034485,-0.3441333771,-0.4472618103,-0.1711711884,-0.368801117,-0.4719295502,-0.1976299286,-0.3007583618,-0.1031284332,-0.8923740387,-1.7031707764,-1.7278385163,-1.5566673279,-1.3590373993,-1.2559089661,0,-0.000797145,0
6.37482128199543E+018,1.23766725347469E+018,20.7072734833,20.27891922,20.2154102325,19.8019199371,19.8191108704,0.1011452451,0.0788116902,0.0545215607,0.0405153632,0.0301359873,20.8896923065,21.797416687,0.1824188232,0.6107730865,0.674282074,1.0877723694,1.0705814361,0.4283542633,0.4918632508,0.9053535462,0.8881626129,0.0635089875,0.4769992829,0.4598083496,0.4134902954,0.3962993621,-0.0171909333,-0.9077243805,-1.0901432037,-1.518497467,-1.5820064545,-1.9954967499,-1.9783058166,1,0.5524873137,1
6.3748212991753E+018,1.23766725347554E+018,20.3217792511,19.8740787506,19.9077281952,20.0359668732,19.862165451,0.0837038085,0.0652214438,0.0451198928,0.0335289165,0.0249393526,19.7577495575,21.9861373901,-0.5640296936,-0.1163291931,-0.1499786377,-0.2782173157,-0.1044158935,0.4477005005,0.4140510559,0.2858123779,0.4596138001,-0.0336494446,-0.1618881226,0.0119132996,-0.128238678,0.0455627442,0.1738014222,-2.2283878326,-1.664358139,-2.1120586395,-2.0784091949,-1.9501705169,-2.1239719391,1,0.86360991,1
3.15051656647856E+018,1.23766725348059E+018,24.1040420532,21.8576965332,20.6230792999,19.4322376251,18.5332756042,0.0712963864,0.0555536635,0.0384317674,0.0285589211,0.0212425906,23.159526825,23.1538410187,-0.9445152282,1.3018302918,2.5364475251,3.7272891999,4.6262512208,2.24634552,3.4809627533,4.6718044281,5.570766449,1.2346172333,2.4254589081,3.324420929,1.1908416748,2.0898036957,0.8989620209,0.0056858063,0.9502010345,-1.2961444855,-2.5307617188,-3.7216033936,-4.6205654145,0,3.06145921058487E-05,0
3.15055175085065E+018,1.23766725348124E+018,23.2775363922,20.7229480743,19.2876930237,18.7899303436,18.3970489502,0.0593680143,0.0462591536,0.0320018679,0.0237808172,0.0176885594,22.8669567108,22.7999801636,-0.4105796814,2.1440086365,3.5792636871,4.0770263672,4.4699077606,2.5545883179,3.9898433685,4.4876060486,4.880487442,1.4352550506,1.9330177307,2.3258991241,0.4977626801,0.8906440735,0.3928813934,0.0669765472,0.4775562286,-2.0770320893,-3.5122871399,-4.01004982,-4.4029312134,1,0.3573325276,1
6.37777680683185E+018,1.23766725399223E+018,19.3079051971,17.8607387543,17.1581630707,16.7578048706,16.5032196045,0.1625419855,0.1266516149,0.0876170024,0.0651088208,0.0484290048,20.1879653931,20.7451286316,0.880060196,2.3272266388,3.0298023224,3.4301605225,3.6847457886,1.4471664428,2.1497421264,2.5501003265,2.8046855926,0.7025756836,1.1029338837,1.3575191498,0.4003582001,0.6549434662,0.2545852661,-0.5571632385,-1.4372234345,-2.8843898773,-3.5869655609,-3.987323761,-4.2419090271,1,0.0896993354,1
2.48528564339501E+018,1.23766725399524E+018,23.7280788422,22.1755771637,20.7148208618,18.9350852966,17.719575882,0.1076180339,0.0838552415,0.0580106676,0.0431081429,0.0320645384,23.483921051,23.9363040924,-0.2441577912,1.3083438873,2.7691001892,4.5488357544,5.764345169,1.5525016785,3.0132579804,4.7929935456,6.0085029602,1.4607563019,3.2404918671,4.4560012817,1.7797355652,2.9952449798,1.2155094146,-0.4523830414,-0.2082252502,-1.7607269287,-3.2214832306,-5.0012187958,-6.2167282104,0,2.83939170913072E-05,0
3.152275785083E+018,1.2376672539959E+018,24.6062374115,21.7989521027,21.9412765503,22.1240577698,21.5783462524,0.1456423849,0.1134835556,0.078507401,0.0583394133,0.0433938056,23.4094562531,23.663230896,-1.1967811584,1.6105041504,1.4681797028,1.2853984833,1.8311100007,2.8072853088,2.6649608612,2.4821796417,3.0278911591,-0.1423244476,-0.3251056671,0.2206058503,-0.1827812195,0.3629302979,0.5457115174,-0.2537746429,0.9430065155,-1.8642787933,-1.7219543457,-1.5391731262,-2.0848846436,1,2.201130867,0
3.152275785083E+018,1.2376672539959E+018,24.6062374115,21.7989521027,21.9412765503,22.1240577698,21.5783462524,0.1456423849,0.1134835556,0.078507401,0.0583394133,0.0433938056,23.4094562531,23.663230896,-1.1967811584,1.6105041504,1.4681797028,1.2853984833,1.8311100007,2.8072853088,2.6649608612,2.4821796417,3.0278911591,-0.1423244476,-0.3251056671,0.2206058503,-0.1827812195,0.3629302979,0.5457115174,-0.2537746429,0.9430065155,-1.8642787933,-1.7219543457,-1.5391731262,-2.0848846436,1,2.1994464397,0
6.37770639943297E+018,1.23766725399636E+018,20.4771327972,20.077293396,19.9987812042,19.8804130554,19.8560218811,0.1534979194,0.1196045354,0.082741864,0.0614860728,0.0457343422,20.6482410431,21.1768379211,0.1711082459,0.5709476471,0.6494598389,0.7678279877,0.792219162,0.3998394012,0.478351593,0.5967197418,0.6211109161,0.0785121918,0.1968803406,0.2212715149,0.1183681488,0.1427593231,0.0243911743,-0.528596878,-0.6997051239,-1.0995445251,-1.1780567169,-1.2964248657,-1.32081604,1,0.7137663364,1
6.37767118821733E+018,1.23766725399957E+018,19.0365829468,19.1959781647,18.7341747284,18.7553272247,18.8473854065,0.1282745749,0.0999506786,0.0691454113,0.0513824522,0.0382191055,19.5350646973,21.4110527039,0.4984817505,0.3390865326,0.8008899689,0.7797374726,0.6876792908,-0.1593952179,0.3024082184,0.2812557221,0.1891975403,0.4618034363,0.44065094,0.3485927582,-0.0211524963,-0.1132106781,-0.0920581818,-1.8759880066,-2.3744697571,-2.2150745392,-2.6768779755,-2.6557254792,-2.5636672974,1,1.2513934374,1
6.38787463142703E+018,1.23766725400494E+018,21.0482807159,20.327041626,20.3341121674,20.3886013031,20.1373634338,0.1151870117,0.0897529423,0.0620906688,0.0461400189,0.0343196988,20.7175922394,21.4732685089,-0.3306884765,0.3905506134,0.383480072,0.3289909363,0.5802288056,0.7212390899,0.7141685485,0.6596794128,0.9109172821,-0.0070705414,-0.0615596771,0.1896781922,-0.0544891357,0.1967487336,0.2512378693,-0.7556762695,-0.424987793,-1.1462268829,-1.1391563415,-1.0846672058,-1.3359050751,1,0.7434645891,1
