,g_id,s_id,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,c,rs,pred
0,6.37482126696304e+18,1.23766725347377e+18,20.0247554779,20.000087738,20.1712589264,20.368888855,20.4720172882,0.0837407932,0.0652502626,0.0451398268,0.033543732,0.0249503721,20.8355522156,21.727926254299998,0.8107967376999999,0.8354644776000001,0.6642932892,0.4666633606,0.36353492740000004,0.024667739900000003,-0.1465034485,-0.3441333771,-0.4472618103,-0.1711711884,-0.368801117,-0.47192955020000005,-0.1976299286,-0.3007583618,-0.10312843320000001,-0.8923740387000001,-1.7031707764,-1.7278385162999998,-1.5566673278999998,-1.3590373993,-1.2559089661,0,-0.000797145,0
3,3.15051656647856e+18,1.23766725348059e+18,24.1040420532,21.857696533200002,20.6230792999,19.4322376251,18.5332756042,0.0712963864,0.055553663499999996,0.038431767400000004,0.0285589211,0.0212425906,23.159526825,23.1538410187,-0.9445152281999999,1.3018302918,2.5364475251,3.7272891999,4.6262512207999995,2.24634552,3.4809627533,4.6718044281,5.570766449,1.2346172333,2.4254589081,3.324420929,1.1908416748000001,2.0898036957,0.8989620209,0.0056858063,0.9502010345,-1.2961444855,-2.5307617188,-3.7216033936,-4.6205654145,0,3.06145921058487e-05,0
6,2.48528564339501e+18,1.23766725399524e+18,23.7280788422,22.175577163699998,20.7148208618,18.9350852966,17.719575882,0.1076180339,0.08385524150000001,0.058010667599999996,0.0431081429,0.0320645384,23.483921051,23.936304092399997,-0.2441577912,1.3083438873,2.7691001892,4.5488357544,5.764345168999999,1.5525016784999999,3.0132579804,4.7929935456,6.0085029601999995,1.4607563019,3.2404918671,4.4560012817,1.7797355652000002,2.9952449798000003,1.2155094145999998,-0.4523830414,-0.2082252502,-1.7607269287,-3.2214832306,-5.0012187958,-6.2167282103999995,0,2.8393917091307203e-05,0
19,6.37482129810155e+18,1.23766725401248e+18,19.8057918549,19.7611484528,20.141540527300002,20.3683414459,20.8236198425,0.08015064150000001,0.0624528378,0.0432045832,0.0321056359,0.0238806959,19.2672843933,19.446748733499998,-0.5385074616,-0.4938640595,-0.874256134,-1.1010570526,-1.5563354491999999,0.0446434021,-0.3357486724,-0.562549591,-1.0178279876,-0.3803920745,-0.6071929931000001,-1.0624713897,-0.22680091859999998,-0.6820793152,-0.45527839659999997,-0.1794643402,0.3590431214,0.3143997193,0.6947917938,0.9215927124,1.376871109,0,-0.0001174051,0
23,6.37489166255077e+18,1.23766725401818e+18,22.4244709015,21.302854538,21.066274642899998,21.1053085327,20.676206588699998,0.0635309517,0.049502890599999995,0.034245871000000004,0.0254483502,0.0189288985,22.513889312699998,22.131183624299997,0.08941841119999999,1.2110347747,1.4476146697999999,1.40858078,1.837682724,1.1216163635,1.3581962586,1.3191623688,1.7482643128,0.23657989510000002,0.19754600530000002,0.6266479493,-0.0390338898,0.3900680542,0.42910194399999996,0.3827056884,0.2932872772,-0.8283290862999999,-1.0649089814,-1.0258750916,-1.4549770356,0,2.8313801522017497e-05,1
37,2.48683375576692e+18,1.23766728781293e+18,22.103141784699996,20.5716743469,20.2528038025,20.130144119300002,19.802856445299998,0.10004311800000001,0.0779529214,0.05392747,0.040073890200000004,0.0298076104,22.9465484619,23.7414169312,0.8434066772,2.374874115,2.6937446594,2.8164043426,3.1436920166,1.5314674378,1.8503379822,1.9729976653999999,2.3002853394,0.3188705444,0.4415302276,0.7688179016,0.12265968320000001,0.4499473572,0.327287674,-0.7948684693000001,-1.6382751465,-3.1697425843,-3.4886131287,-3.6112728119,-3.9385604858999996,0,-0.00012038979999999999,1
45,6.37767117640617e+18,1.23766729212074e+18,20.258935928299998,19.9291954041,19.9986133575,20.0338935852,20.2468643188,0.1787232459,0.1392599493,0.0963393822,0.0715904906,0.0532501712,21.3694419861,21.555932998699998,1.1105060578000001,1.4402465819999999,1.3708286286000002,1.3355484009,1.1225776673,0.3297405242,0.2603225708,0.2250423431,0.0120716095,-0.0694179534,-0.1046981811,-0.31766891469999997,-0.0352802277,-0.2482509613,-0.2129707336,-0.1864910126,-1.2969970704,-1.6267375946,-1.5573196412,-1.5220394135,-1.3090686799,0,0.00015444959999999999,0
77,6.37485645777758e+18,1.23766732325441e+18,17.6482753754,17.548027038599997,17.8675346375,18.152162551900002,18.4198989868,0.09980983289999999,0.0777711496,0.0538017191,0.0399804451,0.0297381058,17.2875709534,17.1021327972,-0.360704422,-0.2604560852,-0.5799636841,-0.8645915984999999,-1.1323280334,0.10024833679999999,-0.21925926210000002,-0.5038871765,-0.7716236114,-0.3195075989,-0.6041355132999999,-0.8718719481999999,-0.2846279144,-0.5523643493,-0.2677364349,0.1854381562,0.5461425782,0.4458942414,0.7654018403,1.0500297547,1.3177661896,0,-4.7885307139949893e-05,0
82,2.4910206960455e+18,1.23766732326037e+18,21.448120117200002,20.221475601199998,19.7865200043,19.5663948059,19.6292533875,0.041427090800000003,0.0322797075,0.022330952799999998,0.0165942907,0.012343103999999999,23.2922382355,24.0534439087,1.8441181183000002,3.0707626343000003,3.5057182312,3.7258434296,3.6629848480000002,1.226644516,1.6616001129,1.8817253112999999,1.8188667297,0.43495559689999996,0.6550807953,0.5922222136999999,0.2201251984,0.1572666168,-0.0628585816,-0.7612056731999999,-2.6053237915,-3.8319683075,-4.2669239044,-4.4870491027999995,-4.4241905212,0,-9.62829362833872e-05,0
104,6.38787469155658e+18,1.23766732432297e+18,20.3123397827,20.0975131989,20.4497318268,20.7519779205,21.268503189100002,0.0695364997,0.054182373,0.0374831147,0.0278539713,0.0207182374,20.2058429718,19.8928546906,-0.1064968109,0.1083297729,-0.243888855,-0.5461349487,-1.0626602173,0.2148265838,-0.1373920441,-0.4396381378,-0.9561634064,-0.35221862789999997,-0.6544647215999999,-1.1709899902,-0.3022460937,-0.8187713623,-0.5165252686,0.3129882812,0.4194850921,0.20465850829999999,0.5568771362,0.8591232298999999,1.3756484985,0,-0.0002689764,0
105,6.38787469155658e+18,1.2376673243231e+18,17.4855003357,17.371099472,17.7461643219,18.074136734,18.3808555603,0.08417329189999999,0.0655872598,0.045372962999999995,0.0337169729,0.025079233599999997,17.0123119354,16.7836437225,-0.47318840030000003,-0.35878753659999996,-0.7338523865000001,-1.0618247986,-1.3685436249,0.1144008637,-0.26066398620000003,-0.5886363983,-0.8953552245999999,-0.3750648499,-0.703037262,-1.0097560883,-0.3279724121,-0.6346912384000001,-0.30671882629999997,0.2286682129,0.7018566131999999,0.5874557495,0.9625205994,1.2904930115,1.5972118378,0,7.8036036939011e-06,0
115,6.37767120969217e+18,1.23766742955786e+18,20.410320282,20.2530174255,20.5536174774,20.7185344696,21.0382289886,0.1756256372,0.1368463039,0.0946696401,0.0703496858,0.0523272417,20.592823028599998,20.0138206482,0.18250274660000002,0.3398056031,0.0392055512,-0.125711441,-0.44540596,0.1573028565,-0.1432971954,-0.3082141876,-0.6279087066,-0.3006000519,-0.46551704409999994,-0.7852115631000001,-0.1649169922,-0.48461151119999996,-0.319694519,0.5790023804,0.39649963380000003,0.2391967773,0.5397968292,0.7047138214,1.0244083404000002,0,5.2029e-05,0
116,6.38787465182813e+18,1.23766742956442e+18,21.943071365399998,21.969369888299997,21.8006095886,20.9647369385,20.148454666099997,0.0753446668,0.0587080531,0.0406139605,0.030180525,0.022448765099999997,21.7411441803,20.976291656500003,-0.20192718510000002,-0.228225708,-0.0594654083,0.7764072418000001,1.5926895142,-0.0262985229,0.1424617768,0.9783344268999999,1.7946166993000001,0.16876029969999998,1.0046329498,1.8209152222,0.8358726501,1.6521549225,0.8162822724,0.7648525237999999,0.9667797089,0.9930782318000001,0.8243179320999999,-0.011554718,-0.8278369904,0,-2.47738335019676e-05,0
118,6.37482127662671e+18,1.23766742956953e+18,20.6255702972,19.955575943,20.2696380615,20.4710216522,20.7745838165,0.0811507776,0.0632321313,0.04374369980000001,0.0325062573,0.0241786819,21.0697917938,21.4095649719,0.4442214966,1.1142158508,0.8001537323000001,0.5987701416,0.2952079773,0.6699943542,0.3559322357,0.154548645,-0.1490135193,-0.31406211850000004,-0.5154457092,-0.8190078734999999,-0.2013835907,-0.504945755,-0.3035621643,-0.3397731781,-0.7839946747,-1.4539890289,-1.1399269104,-0.9385433196999999,-0.6349811554,0,0.00011569290000000001,0
