,Unnamed: 0,galex_objid,sdss_objid,u,g,r,i,z,nuv_mag,eu,eg,er,ei,ez,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,c,rs,pred
230,754,3.8023070596234e+18,1.23766743009677e+18,22.7184886932,22.099773406999997,21.8991184235,22.144258499099998,21.805543899499998,0.1204954237,0.0938892141,0.06495212759999999,0.048266388499999986,0.0359013267,24.0451087952,1.326620102,1.9453353882,2.1459903717,1.9008502961,2.2395648957,0.6187152861999999,0.8193702697,0.5742301941,0.9129447937,0.2006549835,-0.0444850921,0.2942295075,-0.2451400756,0.093574524,0.3387145996,1,-0.0002536908,0
316,1056,6.37872668716565e+18,1.23766744780282e+18,22.4174747467,21.8695602417,21.996786117600003,22.0984382629,21.654739379899997,0.0923214853,0.0719362795,0.0497651845,0.0369808674,0.0275069699,21.6214733124,-0.7960014343,-0.2480869293,-0.3753128052,-0.4769649505,-0.0332660675,0.547914505,0.4206886291,0.3190364838,0.7627353668000001,-0.1272258759,-0.2288780212,0.2148208618,-0.1016521453,0.34204673770000005,0.443698883,1,-1.12784655357245e-05,1
320,1069,6.37485648784025e+18,1.23766744833956e+18,22.3351707458,21.7517280579,21.778854370100003,21.570110320999998,20.9412689209,0.0972117782,0.07574675980000001,0.0524012558,0.0389397517,0.0289640203,22.9872894287,0.6521186829,1.2355613708,1.2084350586,1.4171791077000002,2.0460205078,0.5834426879,0.5563163757,0.7650604248,1.3939018249,-0.0271263122,0.1816177369,0.810459137,0.2087440491,0.8375854492,0.6288414001,1,0.0,1
339,1122,3.85121333682687e+18,1.23766753693401e+18,22.147607803299998,21.2518520355,21.1557178497,21.118227005,20.8727092743,0.1160582006,0.0904317647,0.0625602752,0.0464889891,0.0345792659,23.8117351532,1.6641273499,2.5598831177,2.6560173035,2.6935081482,2.9390258789,0.8957557678,0.9918899536,1.0293807983,1.274898529,0.0961341858,0.13362503050000002,0.3791427612,0.037490844700000005,0.2830085754,0.2455177307,1,-0.0028927666,0
365,1191,3.84815229645515e+18,1.2376675385401e+18,21.2685413361,20.6596031189,20.4848175049,20.5001239777,20.401416778599998,0.0992442444,0.0773304477,0.0534968451,0.0397538878,0.0295695905,23.516799926799997,2.2482585907,2.8571968079000003,3.0319824219,3.0166759491,3.1153831482,0.6089382172,0.7837238312,0.7684173584,0.8671245575,0.17478561399999998,0.15947914119999998,0.25818634030000004,-0.0153064728,0.0834007263,0.0987071991,1,-3.71453461411875e-06,0
427,1424,6.38263218360602e+18,1.23766773557022e+18,22.7052936554,21.4854946136,21.4323368073,21.2751922607,21.4325180054,0.1103969887,0.0860205889,0.05950864400000001,0.0442213006,0.0328925215,22.3920688629,-0.3132247925,0.9065742493,0.9597320556,1.1168766022,0.9595508575,1.2197990418,1.2729568481,1.4301013947,1.27277565,0.0531578063,0.2103023529,0.0529766082,0.1571445466,-0.0001811981,-0.15732574470000002,1,0.0006282883000000001,0
738,2450,3.85536509273336e+18,1.23766791433939e+18,22.5840568542,21.241386413599997,20.953525543199998,20.7808685303,20.4069480896,0.0956783071,0.07455188780000001,0.0515746512,0.0383254923,0.0285071246,24.597578048699997,2.0135211945,3.3561916351,3.6440525055,3.8167095184,4.190629959100002,1.3426704406,1.630531311,1.8031883239,2.1771087646,0.2878608704,0.4605178833,0.8344383240000001,0.1726570129,0.5465774536,0.3739204407,1,-0.0001825666,0
746,2467,6.37886751162919e+18,1.2376679143443e+18,21.8051338196,21.5356941223,20.4351024628,19.6136665344,19.2376003265,0.1502769887,0.1170948073,0.0810056478,0.0601958781,0.0447746739,21.445390701300003,-0.3597431183,-0.090303421,1.0102882385,1.8317241669,2.2077903748,0.2694396973,1.3700313568,2.1914672852,2.5675334931,1.1005916595,1.9220275879,2.2980937958000003,0.8214359284,1.1975021363,0.3760662079,1,0.0,1
799,2566,6.3787267193779e+18,1.23766791595727e+18,21.170797348,20.5418567657,20.5672340393,20.5569248199,20.3851013184,0.1141242459,0.0889248401,0.06151779,0.0457143113,0.0340030491,22.142305374099998,0.9715080261,1.6004486084,1.5750713347999998,1.5853805542,1.7572040557,0.6289405822999999,0.6035633087,0.6138725281,0.7856960296,-0.0253772736,-0.0150680542,0.15675544730000002,0.0103092194,0.1821327209,0.17182350149999998,1,0.0013528451,1
822,2614,3.06150010509172e+18,1.23766791703016e+18,22.3673286438,21.643493652300002,21.4880237579,21.5482559204,21.4916629791,0.1141375899,0.08893523369999999,0.0615249835,0.0457196571,0.034007024,24.459793090799998,2.092464447,2.8162994385,2.9717693329,2.9115371704000004,2.9681301117000003,0.7238349915000001,0.8793048859,0.8190727234,0.8756656647,0.1554698944,0.0952377319,0.15183067320000002,-0.0602321625,-0.0036392212,0.0565929413,1,6.04144333919976e-05,0
