,galex_objid,sdss_objid,u,g,r,i,z,nuv_mag,eu,eg,er,ei,ez,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,c,rs,pred
1303,6.37872676018219e+18,1.23766773451057e+18,19.0141620636,17.923427581800002,17.571557998699998,17.4243335724,17.3871421814,0.09275434169999999,0.0722735524,0.0499985106,0.0371542536,0.027635937599999997,20.33751297,1.3233509064,2.4140853881999997,2.7659549713,2.9131793976,2.9503707886000003,1.0907344818,1.4426040649,1.5898284912,1.6270198822,0.35186958310000005,0.4990940094,0.5362854004,0.14722442630000002,0.1844158173,0.037191391000000004,0,0.0038686176,0
2343,6.37872674622354e+18,1.23766791113225e+18,19.2973251343,17.847700119000002,17.4174633026,17.2456283569,17.2509059906,0.0811688006,0.06324618309999999,0.0437534153,0.0325134769,0.024184053799999997,20.9083118439,1.6109867096000001,3.0606117249,3.4908485413,3.662683487,3.6574058533,1.4496250153,1.8798618316999998,2.0516967774,2.0464191437,0.4302368164,0.6020717621,0.5967941284,0.1718349457,0.16655731199999999,-0.0052776337,0,0.0034020608,0
2431,3.24291072778306e+18,1.23766791274221e+18,22.777557373,21.912397384600002,21.7903347015,21.745504379299998,21.0489883423,0.057153284500000005,0.0445334539,0.0308080371,0.022893672799999997,0.0170286875,24.682069778400002,1.9045124054,2.7696723938,2.8917350769,2.9365653991000005,3.6330814361000003,0.8651599884000001,0.9872226715000001,1.0320529937,1.7285690307,0.1220626831,0.16689300529999998,0.8634090423,0.044830322199999995,0.7413463592,0.696516037,0,0.0038103489,1
2722,3.87207766947556e+18,1.23766827244493e+18,22.8966274261,21.987157821700002,22.0773696899,21.930683136,22.1967353821,0.1213292405,0.0945389271,0.0654015914,0.048600390599999994,0.036149762599999996,23.6143112183,0.7176837922,1.6271533966,1.5369415284,1.6836280822999998,1.4175758362,0.9094696044,0.8192577362000001,0.9659442901,0.699892044,-0.0902118682,0.056474685700000006,-0.2095775604,0.14668655390000002,-0.11936569220000001,-0.2660522461,0,0.0038205415000000004,0
2765,6.38263218682934e+18,1.23766828854614e+18,22.7731609344,22.045595169099997,21.9347782135,22.0684318542,21.605091095,0.1556897908,0.121312432,0.08392337710000002,0.0623640642,0.046387404199999996,22.365802764899996,-0.40735816950000003,0.32020759579999997,0.4310245514,0.2973709107,0.7607116698999999,0.7275657653000001,0.8383827209,0.7047290801999999,1.1680698394,0.1108169556,-0.022836685099999997,0.4405040741,-0.1336536407,0.32968711850000004,0.4633407592,0,0.0037824279,0
2884,3.22837958211037e+18,1.23766829283659e+18,20.9736461639,20.3597793579,20.069118499800002,19.9494247437,19.9590396881,0.08654247220000001,0.0674333051,0.046650048300000004,0.0346659869,0.0257851239,22.102813720700002,1.1291675568000001,1.7430343628,2.0336952209,2.153388977,2.1437740326,0.613866806,0.9045276641,1.0242214202,1.0146064758,0.2906608581,0.4103546142,0.4007396698,0.11969375609999999,0.1100788117,-0.009614944399999999,0,0.0038156544,0
2886,3.22837958211037e+18,1.23766829283659e+18,20.9736461639,20.3597793579,20.069118499800002,19.9494247437,19.9590396881,0.08654247220000001,0.0674333051,0.046650048300000004,0.0346659869,0.0257851239,22.102813720700002,1.1291675568000001,1.7430343628,2.0336952209,2.153388977,2.1437740326,0.613866806,0.9045276641,1.0242214202,1.0146064758,0.2906608581,0.4103546142,0.4007396698,0.11969375609999999,0.1100788117,-0.009614944399999999,0,0.0038156544,0
2938,6.37904342919257e+18,1.23766829444805e+18,17.9332103729,16.5929584503,15.9468383789,15.651774406400001,15.5075101852,0.1118438542,0.08714797349999999,0.0602885671,0.0448008664,0.0333236121,20.140827179000002,2.2076168061000003,3.5478687287,4.1939888001,4.4890527726,4.6333169938,1.3402519226,1.986371994,2.2814359665,2.4257001877,0.6461200714,0.9411840439,1.0854482651000001,0.2950639725,0.4393281937,0.1442642212,0,0.0036383970000000002,0
3467,6.37904344100583e+18,1.23766849577989e+18,18.548078537000002,17.039052963299998,16.6439590454,16.5427818298,17.1717586517,0.10881643740000001,0.0847890303,0.05865665900000001,0.0435881838,0.032421600099999996,19.5342617035,0.9861831665,2.4952087402000003,2.8903026581,2.9914798737,2.3625030518,1.5090255737,1.9041194916,2.0052967072,1.3763198853,0.3950939179,0.4962711335,-0.1327056884,0.10117721560000001,-0.5277996063,-0.6289768218999999,0,0.0035801288,0
3786,3.77855760826211e+18,1.2376697010484e+18,22.455118179299998,21.8353919983,21.736232757600003,22.1177482605,21.1499881744,0.1483351141,0.11558172109999999,0.0799589008,0.0594180301,0.044196099,24.2590827942,1.8039646149000002,2.4236907959000002,2.5228500366,2.1413345337000003,3.1090946198,0.619726181,0.7188854217,0.3373699188,1.3051300048999999,0.0991592407,-0.2823562622,0.6854038239,-0.38151550289999997,0.5862445832000001,0.9677600861,0,0.0037888255999999998,0
4597,2.41667611782179e+18,1.2376785959374e+18,22.7217979431,21.7276630402,21.629180908200002,22.0406360626,21.1843719482,0.1975689232,0.1539443731,0.10649800300000001,0.07913942639999999,0.058865197,23.0339508057,0.3121528626,1.3062877655,1.4047698975,0.9933147431,1.8495788575,0.9941349029000001,1.0926170349,0.6811618804999999,1.5374259949000002,0.09848213199999999,-0.31297302239999997,0.543291092,-0.41145515439999997,0.44480896,0.8562641143999999,0,0.0033590181,0
7051,6.37724898326636e+18,1.23767866197914e+18,21.8672294617,21.5904254913,21.5066070557,22.1056957245,22.1008071899,0.2113638371,0.1646932662,0.1139340401,0.0846652016,0.0629753545,21.775138855,-0.0920906067,0.18471336370000002,0.2685317993,-0.3305568695,-0.32566833489999997,0.2768039704,0.360622406,-0.23846626280000002,-0.2335777282,0.08381843559999999,-0.5152702332,-0.5103816986,-0.5990886688,-0.5942001342000001,0.0048885346,0,0.0038002608,0
7864,6.38020444260454e+18,1.23767885847777e+18,21.837268829299997,21.479099273699997,21.3437843323,21.665243148800002,21.853090286300002,0.3139364421,0.24461714920000002,0.1692250073,0.1257523149,0.0935366228,21.976940155,0.13967132570000002,0.49784088130000004,0.6331558227,0.3116970062,0.12384986869999999,0.3581695556,0.493484497,0.1720256805,-0.015821457,0.1353149414,-0.18614387510000002,-0.3739910126,-0.32145881649999997,-0.509305954,-0.1878471375,0,0.0033435202,0
9835,2.9112628362724e+18,1.23767907858809e+18,21.7815513611,21.1106681824,21.245426178,21.1611557007,21.1026420593,0.1441770494,0.1123417839,0.0777175277,0.0577524528,0.042957212800000005,22.112245559699996,0.3306941986,1.0015773773,0.8668193817000001,0.9510898590000001,1.0096035004000001,0.6708831787,0.5361251831,0.6203956603999999,0.6789093018000001,-0.1347579956,-0.0504875183,0.008026123100000001,0.08427047730000001,0.1427841187,0.0585136414,0,0.0035567132,0
10506,6.38038041708043e+18,1.23767932232178e+18,21.8526821136,21.6084060669,21.5307769775,21.5683803558,21.6216182709,0.1010961905,0.0787734687,0.0544951186,0.0404957123,0.0301213712,21.7666187286,-0.086063385,0.1582126617,0.2358417511,0.1982383728,0.1450004577,0.24427604670000003,0.3219051361,0.2843017578,0.2310638427,0.0776290894,0.0400257111,-0.013212203999999998,-0.037603378300000004,-0.0908412934,-0.0532379151,0,0.0038863968,1
13992,6.38094332515582e+18,1.23767950324911e+18,23.5421791077,22.1744709015,21.924047470100003,22.1852054596,21.9964237213,0.2128870338,0.1658801287,0.11475510900000001,0.08527534460000001,0.0634291917,22.831653595,-0.7105255127,0.6571826935,0.9076061248999999,0.6464481354,0.8352298737,1.3677082062,1.6181316376,1.3569736481,1.5457553863999998,0.2504234314,-0.010734558100000001,0.1780471802,-0.26115798949999997,-0.0723762512,0.18878173829999997,0,0.0035940316,1
14041,3.05340769951339e+18,1.23767950325468e+18,21.768001556399998,21.6703701019,21.5897865295,22.0937290192,22.7382087708,0.23658022280000002,0.1843417138,0.12752674519999999,0.0947660357,0.07048852,22.264343261700002,0.4963417053,0.5939731598,0.6745567322,0.1706142425,-0.47386550909999997,0.09763145449999999,0.17821502690000002,-0.32572746280000003,-0.9702072144,0.0805835724,-0.42335891729999997,-1.0678386689,-0.5039424897,-1.1484222413,-0.6444797515999999,0,0.0038008979,0
14676,6.38094336810759e+18,1.23767950486195e+18,21.4554386139,21.341594695999998,21.4757938385,21.5107307434,21.310277938800002,0.12650239470000002,0.09856981039999999,0.0681901425,0.050672583300000004,0.0376910903,21.9134140015,0.4579753876,0.5718193054999999,0.43762016299999995,0.4026832581,0.6031360627000001,0.1138439179,-0.0203552246,-0.0552921295,0.1451606751,-0.1341991425,-0.1691360474,0.0313167572,-0.0349369049,0.1655158997,0.2004528046,0,0.0035838438,0
14717,6.3773545406776e+18,1.23767950486576e+18,20.926986694300002,20.8814678192,20.9361152649,20.8965415955,21.1850757599,0.1720602661,0.13406819109999998,0.0927477553,0.0689215213,0.0512649491,21.7111473083,0.784160614,0.8296794891,0.7750320434,0.8146057128,0.5260715484,0.045518875099999995,-0.0091285706,0.0304450988,-0.2580890656,-0.054647445700000005,-0.0150737763,-0.3036079407,0.0395736694,-0.248960495,-0.2885341644,0,0.0036431744,1
15410,3.1302151837812e+18,1.23767954297245e+18,23.2120475769,22.3941650391,22.1813907623,22.358318328899998,21.767665863,0.3067957759,0.2390531898,0.1653758883,0.12289201470000001,0.0914090797,22.828548431399998,-0.38349914549999997,0.43438339229999995,0.6471576690999999,0.4702301025,1.0608825684,0.8178825378,1.0306568146,0.8537292479999999,1.4443817139,0.2127742768,0.0358467102,0.6264991760999999,-0.1769275666,0.4137248993,0.5906524659000001,0,0.0033329169,1
17740,6.37672123379116e+18,1.2376802757981e+18,21.6674118042,21.5891304016,22.080318450900002,22.103420257600003,22.7624855042,0.1815244257,0.1414425969,0.0978493392,0.0727125406,0.0540847741,21.2288951874,-0.4385166168,-0.36023521420000004,-0.8514232635,-0.8745250701999999,-1.5335903168,0.0782814026,-0.4129066467,-0.43600845340000005,-1.0950737,-0.4911880493,-0.514289856,-1.1733551026,-0.023101806699999998,-0.6821670532999999,-0.6590652466,0,0.0033340940999999997,0
17969,4.50789445749284e+18,1.23768027794617e+18,23.9388751984,23.2177238464,21.3340816498,20.2826156616,19.61901474,0.1645020545,0.12817887960000002,0.0886735544,0.0658939555,0.0490129963,23.8261051178,-0.1127700806,0.6083812714,2.492023468,3.5434894562,4.207090377799999,0.721151352,2.6047935486,3.6562595368,4.3198604584,1.8836421965999999,2.9351081848000002,3.5987091064,1.0514659882,1.7150669098,0.6636009216,0,0.0036215608,1
20614,3.38882031863412e+18,1.23764991950042e+18,23.0420379639,21.1121788025,20.2321128845,19.8678131104,19.7681674957,0.4472548664,0.348497957,0.24108928440000002,0.1791551709,0.1332585365,23.8569107056,0.8148727417,2.7447319031,3.6247978211,3.9890975951999996,4.0887432099000005,1.9298591613999998,2.8099250794,3.1742248535,3.2738704681999997,0.880065918,1.2443656921,1.3440113068000001,0.3642997741,0.4639453888,0.09964561470000001,0,0.0037959334,0
20939,6.38192855522005e+18,1.23765037154586e+18,22.773771286,22.160577774,22.213739395100003,22.1253356934,21.616533279400002,0.21375617379999998,0.1665573716,0.1152236164,0.08562349529999999,0.0636881515,22.7161483765,-0.0576229095,0.5555706025,0.5024089814,0.5908126831,1.0996150970999998,0.613193512,0.5600318909,0.6484355925999999,1.1572380065999999,-0.0531616211,0.0352420806,0.5440444946,0.0884037017,0.5972061157,0.508802414,1,0.0037432951000000003,0
20941,6.38192855522005e+18,1.23765037154586e+18,22.773771286,22.160577774,22.213739395100003,22.1253356934,21.616533279400002,0.21375617379999998,0.1665573716,0.1152236164,0.08562349529999999,0.0636881515,22.7161483765,-0.0576229095,0.5555706025,0.5024089814,0.5908126831,1.0996150970999998,0.613193512,0.5600318909,0.6484355925999999,1.1572380065999999,-0.0531616211,0.0352420806,0.5440444946,0.0884037017,0.5972061157,0.508802414,0,0.0037432951000000003,1
